,BBCNewsTimes Stamp,BBCNewsTweet Text,BBCNewsCompound,BBCNewsPositive,BBCNewsNegative,BBCNewsNeutral,CBSNewsTimes Stamp,CBSNewsTweet Text,CBSNewsCompound,CBSNewsPositive,CBSNewsNegative,CBSNewsNeutral,CNNTimes Stamp,CNNTweet Text,CNNCompound,CNNPositive,CNNNegative,CNNNeutral,FoxNewsTimes Stamp,FoxNewsTweet Text,FoxNewsCompound,FoxNewsPositive,FoxNewsNegative,FoxNewsNeutral,YTTimes Stamp,YTTweet Text,YTCompound,YTPositive,YTNegative,YTNeutral
74,1/10/18 22:45,"Thursday's Sun: ""Now M25 rapist could go free"" (via @AllieHBNews) #bbcpapers #tomorrowspaperstoday https://t.co/H6oNdjLHwC",-0.3818,0.172,0.255,0.573,1/11/18 15:53,"""We have been working been working with the Senate and the White House to get this right -- to add even more privacâ€_ https://t.co/UJ5xfWYeB3",0,0,0,1,1/11/18 19:51,WikiLeaks founder Julian Assange has been granted Ecuadorian citizenship https://t.co/uMOE5x6o9q https://t.co/KdkJwsZwzh,0.25,0.167,0,0.833,1/11/18 18:40,".@AmbJohnBolton: ""I'm prepared to argue at great length that Iran is violating the deal... This deal was so badly nâ€_ https://t.co/TpivibkOFV",-0.5982,0.188,0.31,0.502,1/11/18 21:09,"In Christieâ€™s Last Days, Hoboken Waterfront Tussle Drags On. https://t.co/pSGu5m02V2",-0.1779,0,0.159,0.841
75,1/10/18 22:45,"Thursday's Times: ""EU signals fresh hope for banks after #Brexit"" (via @AllieHBNews) #bbcpapersâ€_ https://t.co/N6kdym8nzN",0.6369,0.302,0,0.698,1/11/18 15:45,"The U.S. is being hit with one of the worst flu seasons in years, and experts warn  young children are particularlyâ€_ https://t.co/yzsZsPyAoH",-0.7964,0,0.299,0.701,1/11/18 19:48,RT @CNNPolitics: Mnuchin says the administration will work on a â€œsuper user-friendly formâ€ù that fits the new tax system that people can useâ€_,0,0,0,1,1/11/18 18:39,"Female MS-13 gang member, 18, told teen girl 'don't forget my name' in video confession of brutal killing https://t.co/DP9HQCIgS4",-0.8331,0.064,0.325,0.611,1/11/18 21:08,"Cy Young, Only American to Win Gold in Javelin, Is Dead at 89. https://t.co/XWn4qQDf2K",-0.128,0.189,0.214,0.597
76,1/10/18 22:35,Theresa May aims to eradicate plastic litter by 2042 https://t.co/aybdEJjDga,0,0,0,1,1/11/18 15:30,"North Korea says the popularity of Michael Wolff's ""Fire and Fury"" foretells President Trump's ""political demise""â€_ https://t.co/PGhSEMcmvJ",-0.4588,0.134,0.263,0.603,1/11/18 19:32,"The gender gap for women in Hollywood is glaring, new study shows https://t.co/kbXx6h57CM https://t.co/cPFDvup3bs",0,0,0,1,1/11/18 18:32,".@AlanDersh on FISA: ""@POTUS has personally experienced this potential abuse so I understand his concern."" https://t.co/jOIH4kKOYV",-0.6369,0,0.231,0.769,1/11/18 21:05,"Number of Students Taking the SAT Jumped by More Than Half, City Says. https://t.co/610xDzClDc",0.0772,0.091,0,0.909
77,1/10/18 22:31,"Thursday's Guardian: ""Spend now to rescue NHS, Hunt is urged"" (via @AllieHBNews)  #bbcpapers #tomorrowspaperstoday https://t.co/cyAIKh7XSo",0.5106,0.191,0,0.809,1/11/18 15:22,"WATCH LIVE: House Minority Leader Nancy Pelosi, other lawmakers speak on House floor about FISA surveillance prograâ€_ https://t.co/1I26Kc6O0n",0,0,0,1,1/11/18 19:15,Myanmar military admits role in killing Rohingya found in mass grave https://t.co/SfgMJ2EgyG https://t.co/hs8RjW8bAz,-0.7003,0.115,0.365,0.521,1/11/18 18:23,".@johnthune: ""Most members of Congress, like most Americans, want to see a solution to [DACA] but there are folks wâ€_ https://t.co/JNd8OuuLQR",0.3998,0.216,0,0.784,1/11/18 20:56,Republicansâ€™ â€˜Tough Cycleâ€™ Now Spreads to Senate. https://t.co/3Wu1laI2Ry,0,0,0,1
78,1/10/18 22:30,"Thursday's i: ""War on plastic"" (via @AllieHBNews) #bbcpapers #tomorrowspaperstoday https://t.co/YOfqqDevMN",-0.5994,0,0.302,0.698,1/11/18 15:15,The new U.S. ambassador to the Netherlands clashes with Dutch reporters over controversial comments he made in 2015â€_ https://t.co/gD9CMDyyAR,-0.2023,0,0.091,0.909,1/11/18 19:07,"How director Ava DuVernay is making the entertainment industry more reflective of the world we live in, one distincâ€_ https://t.co/OKjXyHwqXj",0.4215,0.128,0,0.872,1/11/18 18:16,".@FDRLST writer Adam Levine: ""We've become so open-minded right now in our society that our brains have fallen out."" https://t.co/cE1JQuDJGR",-0.3612,0,0.116,0.884,1/11/18 20:54,Melania Trump Hires Policy Director Amid Scrutiny From New Book. https://t.co/nzL3VfwWIh,0,0,0,1
79,1/10/18 22:30,"Thursday's Independent: ""May sets out 25-year plan to save environment..."" (via @AllieHBNews) #bbcpapersâ€_ https://t.co/vlJhwF9TsA",0.4939,0.198,0,0.802,1/11/18 15:00,_Ÿ_¨ TAP WATER WARNING: More than 170 million Americans could be drinking tap water tainted with a radioactive elementâ€_ https://t.co/Ww93JnWahs,-0.4824,0,0.156,0.844,1/11/18 19:00,Protests erupt over rape and murder of 7-year-old girl in Pakistan https://t.co/4MYALTY5N9 https://t.co/OEq1CacJjx,-0.9062,0,0.531,0.469,1/11/18 18:10,Twitter responds to Project Veritas allegation that it can share Trump's direct messages https://t.co/vaQ8YTWRwA (via @christocarbone),0.296,0.128,0,0.872,1/11/18 20:50,Whatâ€™s $27 Billion to Wall Street? An Alarming Drop in Revenue. https://t.co/hVy862MzNg,-0.3818,0,0.265,0.735
80,1/10/18 22:30,"Thursday's Star: ""Pig Sick!"" (via @AllieHBNews) #bbcpapers #tomorrowspaperstoday https://t.co/AOUdf1v2xT",0,0,0,1,1/11/18 14:45,"Buffalo, New York, is home to the world's oldest active fire boat -- and authorities are using it to break up the iâ€_ https://t.co/loHOwyZwtW",0.0772,0.1,0.089,0.812,1/11/18 18:44,"Animal rights groups are upset at the Pope for inviting about 2,000 homeless people and refugees to the circusâ€_ https://t.co/EwPKSMphxn",-0.0772,0.1,0.114,0.786,1/11/18 18:05,'We Have to Be Nice to Each Other': @JaniceDean Stands Up to Facebook Body-Shamer https://t.co/HENQggmoRt,0.4215,0.167,0,0.833,1/11/18 20:49,"Book Entry: Review: Even on the Internet, Whatâ€™s Old Is New Again. https://t.co/tvXakhYtWH",0,0,0,1
81,1/10/18 22:30,"Thursday's Telegraph: ""Greening 'blocked tuition fee cuts'"" (via @AllieHBNews) #bbcpapers #tomorrowspaperstoday https://t.co/NaEGRUe9q6",-0.2732,0,0.16,0.84,1/11/18 14:30,"Why the 25th Amendment won't be used to remove President Trump:https://t.co/CzMjimkYHD https://t.co/iB7vWgthAC",0,0,0,1,1/11/18 18:30,President Trump and Republicans face immigration reckoning https://t.co/Dkm2np0G7n https://t.co/klU7fIMThe,0,0,0,1,1/11/18 18:02,".@McDonalds to eliminate foam drink cups from menu, work toward 'fiber-based packaging' https://t.co/GPThbNfR5Q",0,0,0,1,1/11/18 20:36,"Three Journeys Under the Radar: Trippy, Unsettling and Affectionate. https://t.co/NL1eXocNbn",0.4404,0.244,0,0.756
82,1/10/18 22:20,"Thursday's Express: ""Drug-free way to fight diabetes"" (via @AllieHBNews) #bbcpapers #tomorrowspaperstoday https://t.co/KlJAxEW7ek",-0.3818,0,0.191,0.809,1/11/18 14:15,A new report finds more than 170 million Americans are exposed to radium in their drinking water -- that  could incâ€_ https://t.co/Z4bGOvZoiC,-0.0772,0,0.061,0.939,1/11/18 18:15,China blocks Marriott for listing Tibet and Taiwan as countries https://t.co/oW5CJkNVnl https://t.co/PesPFL3B5u,-0.2263,0,0.147,0.853,1/11/18 18:00,"'Nobody Predicted This': Walmart Sharing Tax Cut Savings Via Pay Boost, $1,000 Bonuses https://t.co/Yh0ixb0Cet",0.765,0.421,0.162,0.417,1/11/18 20:35,Opinion: The Women the Abortion War Leaves Out. https://t.co/nAwUMTIaFq,-0.5994,0,0.328,0.672
83,1/10/18 22:20,"Thursday's FT: ""Hammond seeks to whip up EU enthusiasm for #Brexit trade deal"" (via @AllieHBNews) #bbcpapersâ€_ https://t.co/Sbu3Hw8aQG",0.4404,0.153,0,0.847,1/11/18 14:00,Superintendent Jerome Puyau tearfully spoke to CBS News' @DavidBegnaud about the widely-seen arrest of a teacher inâ€_ https://t.co/GxBE0iP61x,-0.34,0,0.13,0.87,1/11/18 18:00,President Trump targets Foreign Intelligence Surveillance Act provision that's up for renewalâ€_ https://t.co/2JB83dEyU7,0.4767,0.205,0,0.795,1/11/18 17:43,Pest-sniffing dog deployed at Boston museum to protect art from bugs - via @travfed https://t.co/aS4Ta9bRkS,0.3818,0.167,0,0.833,1/11/18 20:34,Profile: How the Astro Poets Lit Up the Internet. https://t.co/BFADU3hGpY,0,0,0,1
84,1/10/18 22:19,"Thursday's Metro: ""Weinstein is attacked in restaurant"" (via @AllieHBNews) #bbcpapers #tomorrowspaperstoday https://t.co/beQ3vd12Vf",-0.4588,0,0.214,0.786,1/11/18 13:50,"In @CBSThisMorning's series, #AMorePerfectUnion, we aim to show that what unites us as Americans is far greater thaâ€_ https://t.co/FHvuUfsVrw",0.3612,0.122,0,0.878,1/11/18 17:45,"""Madam Secretary"" explores 25th Amendment episode https://t.co/z6j03TddUl https://t.co/Fia1xhR2vQ",0,0,0,1,1/11/18 17:40,"Olympic medalist Jelle van Gorkom in coma after 'terrible accident' causes damaged skull, organs (viaâ€_ https://t.co/FyYmeHsxDm",-0.8442,0,0.412,0.588,1/11/18 20:26,"Why I Canâ€™t Quit You, Hoops. https://t.co/Pbg8EcEk0o",0,0,0,1
85,1/10/18 20:58,AA to cut 100 jobs and shut Six Hills training HQ https://t.co/unTARHaDVU,-0.2732,0,0.16,0.84,1/11/18 13:44,The Trump administration says it is offering a path for states that want to seek work requirements on Medicaid reciâ€_ https://t.co/SfDzHrNKJx,0.0772,0.064,0,0.936,1/11/18 17:30,Hundreds arrested after fourth night of unrest in Tunisia https://t.co/wSUssjbsM3 https://t.co/JWEzCzk4gY,-0.4767,0,0.237,0.763,1/11/18 17:20,".@dbongino: ""Get a warrant. You're going to surveil an American citizen anywhere in the world, get a warrant."" https://t.co/qIkWjgpkD6",0,0,0,1,1/11/18 20:25,Street Style: Pitti Uomo. https://t.co/SOUyZ1a16o,0,0,0,1
86,1/10/18 19:14,"It takes two to tango over Brexit, Hammond tells EU https://t.co/biIsiproC5",0,0,0,1,1/11/18 13:40,An AeromÃ©xico plane nearly landed on the wrong runway in the third close call for SFO in six months:â€_ https://t.co/sMqVwuV5dx,-0.4767,0,0.14,0.86,1/11/18 17:23,President Trump's FISA tweet set off a thunderclap of concern in Washington https://t.co/eUYxvYmGQN https://t.co/STdIn6xMh5,0,0,0,1,1/11/18 17:17,"On @foxandfriends, @KellyannePolls said that liberals and Democrats need to move on from the 2016 election.â€_ https://t.co/ZoK1weVJX6",0,0,0,1,1/11/18 20:24,On the Market: Homes for Sale in New York City. https://t.co/oJ2NhVrN55,0,0,0,1
87,1/10/18 18:42,Blue Planet II tops 2017 TV ratings https://t.co/z5hoZTmkVs,0.5106,0.32,0,0.68,1/11/18 13:38,"The #MeToo movement is not only bringing the issue of sexual harassment to light, but also highlighting what role mâ€_ https://t.co/noS8oKfJP9",-0.3071,0,0.101,0.899,1/11/18 17:15,European diplomats urge President Trump to honor Iran nuclear deal https://t.co/RHLJHQaGfQ https://t.co/Hvb29ejeO5,0.4939,0.225,0,0.775,1/11/18 17:15,".@KatiePavlich: ""That's been the big question about what the Obama Administration was doing during the transition pâ€_ https://t.co/yZ5f4uGtyJ",0,0,0,1,1/11/18 20:22,That Recent Brutally Cold Weather? Itâ€™s Getting Rarer.. https://t.co/iEmbf9V6It,-0.6124,0,0.333,0.667
88,1/10/18 18:11,"RT @VictoriaLIVE: Has a ban on the drug Spice made it more dangerous? Watch the full film by @JohnHenryOwen &gt;&gt; https://t.co/OEY6IMrfOjâ€_",-0.7902,0,0.28,0.72,1/11/18 13:33,Hereâ€™s a look at some of this morningâ€™s headlines on @CBSThisMorning: https://t.co/ezTDTXCHva,0,0,0,1,1/11/18 17:07,"North Carolina governor blasts ""technologically diabolical gerrymandering"" https://t.co/qyoyVdz7TY https://t.co/mPK1deTChj",0,0,0,1,1/11/18 17:11,".@dbongino: ""Nobody has pointed out one single predicate crime to point out why @realDonaldTrump's team was being sâ€_ https://t.co/DpzFzW3lft",-0.5423,0,0.163,0.837,1/11/18 20:21,"Trilobites: You Wonâ€™t Like This News About Bedbugs, Ticks and the â€˜Bomb Cycloneâ€™. https://t.co/joy6cvfdId",0.3612,0.161,0,0.839
89,1/10/18 18:08,"How polluted is your street? _Ÿ˜·Find out: https://t.co/MW9r2UMufj https://t.co/68AJfgg8rA",-0.4588,0,0.273,0.727,1/11/18 13:26,Male Golden Globe winners face backlash for not mentioning the #MeToo movement at the awards ceremony. Ahead onâ€_ https://t.co/MWWqcUzrl2,0.7269,0.264,0,0.736,1/11/18 17:00,Trolls can't stop this cover model. How Ashley Graham is redefining beauty standards and shaping the future of fashâ€_ https://t.co/qoAKkGVNf2,0.6896,0.24,0,0.76,1/11/18 17:10,EXCLUSIVE: Inside Iraq's biggest potential weapon of mass destruction: Mosul Dam (via @holliesmckay)  https://t.co/r92YipL77Q,-0.5672,0.117,0.308,0.575,1/11/18 20:20,Letter: Asking About Citizenship. https://t.co/EDxP66knYH,0,0,0,1
90,1/10/18 18:00,RT @BBCPolitics: Tim Farron: I regret 'gay sex no sin' statement https://t.co/3GMUr2Ncrm,-0.8225,0,0.518,0.482,1/11/18 13:21,Youtube says Logan Paul's channels are being removed from its Google Preferred platform and it also cutting Paul frâ€_ https://t.co/i2EdY8BjJH,-0.128,0,0.073,0.927,1/11/18 16:45,President Trump appointee may give McDonald's a break in landmark labor case https://t.co/JWa5WpiFIa https://t.co/vPAzBwAVnn,0.0772,0.098,0,0.902,1/11/18 17:03,".@SpeakerRyan: ""We want to fix DACA. We do want to fix DACA."" https://t.co/JcFf06pv3R",0.1531,0.191,0,0.809,1/11/18 20:19,"U.S. Bombs Afghan Militia Behind Insider Attack, Officials Say. https://t.co/LkTk0WxRP2",-0.4767,0,0.256,0.744
91,1/10/18 17:58,Bigamist spotted on Ant and Dec TV show with 'second wife' is jailed https://t.co/XKGaREqVlb,-0.4939,0,0.198,0.802,1/11/18 13:20,"Commentary: Mitt Romney's valuehttps://t.co/vTfNzvuoog https://t.co/6UXHgzpNAJ",0.34,0.324,0,0.676,1/11/18 16:30,The Indian government has announced new security measures following reports of an alleged security breach in the coâ€_ https://t.co/dp94VJlqvZ,0.5859,0.22,0,0.78,1/11/18 17:03,".@SpeakerRyan: ""It's well known that [@POTUS] has concerns about the domestic FISA law. That's not what we were doiâ€_ https://t.co/c0ZqSnemvq",0.2732,0.1,0,0.9,1/11/18 20:03,Womenâ€™s Accusations Follow James Franco After Golden Globes. https://t.co/KhcBOPb3LU,-0.3182,0,0.223,0.777
92,1/10/18 17:49,RT @bbckamal: Marked change of tone from @PhilipHammondUK on #Brexit https://t.co/h5NyLUzyKR My Economics Blog,0,0,0,1,1/11/18 13:15,AHEAD on @CBSThisMorning: @issielapowsky joins the table to discuss whether YouTubeâ€™s policies go far enough to preâ€_ https://t.co/UzuDexxSbz,0,0,0,1,1/11/18 16:15,Iran's protests might stop President Trump from scrapping nuclear deal https://t.co/B0Yb7boPGC https://t.co/wplpyQiACc,-0.4767,0,0.291,0.709,1/11/18 17:01,".@SpeakerRyan: ""Less than half of the @USNavy's planes can fly. Less than 10% of our @USArmy's combat brigade teamsâ€_ https://t.co/Ie4rASohY9",-0.34,0,0.112,0.888,1/11/18 20:02,"Review: In â€˜Humor Me,â€™ a Dose of Borscht Belt for a Midlife Crisis. https://t.co/vRLOAnuLNK",-0.6249,0,0.272,0.728
93,1/10/18 17:46,"RT @BBCNewsbeat: YouTube says it is 'upset' over Logan Paul's controversial video that featured a dead body and other YouTubers agreehttpsâ€_",-0.5574,0.094,0.229,0.677,1/11/18 13:15,"Tennis star Serena Williams is on the cover of next month'sâ€™ Vogue magazine with her daughter Alexis Olympia, and sâ€_ https://t.co/XpAyREV2LY",0,0,0,1,1/11/18 16:00,China is America's biggest foreign creditor. Could it turn off the tap? https://t.co/GX2dQNGOda https://t.co/BSTMv7lcWo,-0.0258,0,0.078,0.922,1/11/18 16:56,".@Jim_Jordan: ""I voted against reauthorizing [FISA]."" https://t.co/5BljsCp7v8",0,0,0,1,1/11/18 19:49,"Pressed on False Claims About Muslims, U.S. Ambassador Goes Silent. https://t.co/nVMPLcNmMk",0,0,0,1
94,1/10/18 17:37,RT @BBCRealityCheck: Is the army right to say that there are fewer young white men? https://t.co/ivuXATc7vl https://t.co/xDRhzqsibM,0,0,0,1,1/11/18 13:14,A White House ban on personal cell phones is set to take effect next Tuesday. CBS News has confirmed details of a mâ€_ https://t.co/hK0U1aDJiW,-0.5574,0,0.146,0.854,1/11/18 15:45,President Trump brings up Hillary Clinton once again https://t.co/QmdNC3cWlb https://t.co/RrpZsvXpfH,0,0,0,1,1/11/18 16:53,"House votes to renew FISA program, following mixed messages from Trump https://t.co/GdRWDZxtCh https://t.co/SVT00VyEOk",0,0,0,1,1/11/18 19:39,Treasury Inspector General Finds No Political Meddling in Tax Analysis. https://t.co/2VfTBFAglo,-0.1027,0.138,0.169,0.692
95,1/10/18 17:35,John Worboys' victims ask for London-wide exclusion https://t.co/4EOj05PV33,-0.5423,0,0.429,0.571,1/11/18 13:07,"Nearly 700,000 immigrants are protected by DACA, and many of them are training for high-level professional careers.â€_ https://t.co/Zzol9YhSrj",0.4404,0.146,0,0.854,1/11/18 15:30,Is your employer withholding too little or too much in taxes from your paycheck? It's an important question.â€_ https://t.co/1oBmmKbIp1,0.2023,0.091,0,0.909,1/11/18 16:47,BREAKING NEWS: House votes to reauthorize FISA. https://t.co/1J8o8nGbRM,0,0,0,1,1/11/18 19:35,Jordan Peele and Greta Gerwig Get Directors Guild Nominations. https://t.co/Ghljc1y7M3,0,0,0,1
96,1/10/18 17:31,RT @BBCBusiness: Marks &amp; Spencer to stop selling 'cauliflower steak' https://t.co/Q0BB9KSF6t,-0.296,0,0.18,0.82,1/11/18 13:05,"At least 17 people were killed when a storm slammed Southern California, triggering mudslides. 17 others remain misâ€_ https://t.co/4LD9dxkmt2",-0.6705,0,0.209,0.791,1/11/18 15:15,"California mudslide survivors recall when the ""mud came in an instant"" https://t.co/BSMtF4rQnL https://t.co/IAfOQBTzqs",0,0,0,1,1/11/18 16:40,Feinstein blames 'bad cold' for handling of Fusion GPS transcript https://t.co/upVn3DtK3e,-0.7351,0,0.408,0.592,1/11/18 19:34,"Asia and Australia Edition: North Korea, California, Ecuador: Your Friday Briefing. https://t.co/3Om1cHq6Ln",0,0,0,1
97,1/10/18 17:07,RT @BBCBusiness: Unwelcome extra https://t.co/JxKDoNuVaD,-0.4019,0,0.403,0.597,1/11/18 13:00,WATCH: Dogs in Southern California are being airlifted out of their homes after devastating mudslides engulfed neigâ€_ https://t.co/RcuaJk1k0O,-0.6486,0,0.202,0.798,1/11/18 15:00,"2017 was a defining year for American women. From the Womenâ€™s March on Washington to the #MeToo moment, a movementâ€_ https://t.co/ZExQRyLll7",0,0,0,1,1/11/18 16:38,".@SenSchumer: ""No, Mr. President. You campaigned on a wall that Mexico would pay for. We're waiting... @POTUS is fiâ€_ https://t.co/tGimCxku87",-0.1027,0,0.072,0.928,1/11/18 19:22,Could Britain Have a Second Referendum on â€˜Brexitâ€™?. https://t.co/mJp1j0u7lg,0,0,0,1
98,1/10/18 16:48,University bosses face curbs under fair-pay rules https://t.co/wl57QflPDA,0,0,0,1,1/11/18 12:49,"COMING UP on @CBSThisMorning: Logan Paul, one of YouTubeâ€™s biggest stars, face serious consequences for a very distâ€_ https://t.co/Pcpbnh0Llg",-0.0772,0,0.071,0.929,1/11/18 14:45,Missouri Gov. Eric Greitens admits to affair but denies blackmail allegation https://t.co/6Xujm3glIt https://t.co/h8ps07onXB,-0.4767,0.098,0.227,0.675,1/11/18 16:36,"Dramatic high-speed chase ends with a hug, a kiss and two arrests https://t.co/xebqEKyFva",0.4588,0.351,0.173,0.476,1/11/18 19:21,She Left France to Fight in Syria. Now She Wants to Return. But Can She?. https://t.co/emV3vD363W,-0.3818,0,0.148,0.852
99,1/10/18 16:48,Devil mask thieves lock priest in Reddish church before stealing cash https://t.co/J3uGAsSXnH,-0.9081,0,0.559,0.441,1/11/18 12:46,"A Louisiana school superintendent is speaking out about the controversial arrest of one of his teachers, who was taâ€_ https://t.co/m42b9O1LwB",-0.4939,0,0.198,0.802,1/11/18 14:30,"Walmart says itâ€™s raising its minimum wage to $11 from $10 and is handing out up to $1,000 bonuses because of the nâ€_ https://t.co/oCsIYcB0jA",0.5574,0.135,0,0.865,1/11/18 16:28,".@PastorDScott: ""There's a huge urban initiative that @POTUS and this administration are spearheading."" https://t.co/EuLQyHGR9R",0.3182,0.161,0,0.839,1/11/18 19:20,"Once an ISIS Recruiter, She Now Wants Out. https://t.co/NbHqHGcG7P",0,0,0,1